ID,State,County,Rainfall Type,1-Yr,2-YR,5-YR,10-YR,25-YR,50-YR,100-YR,200-YR,500-YR,1000-YR
3705,AK,"Aleutians East, Cold Bay AP AK_IA",IA,1.78,2.16,2.7,3.14,3.75,4.25,4.77,5.37,6.15,6.75
6609,AK,"Aleutians East, Sand Point AK_IA",IA,1.67,2.06,2.58,2.97,3.5,3.89,4.29,4.69,5.22,5.62
6610,AK,"Aleutians West, Dutch Harbor AK_IA",IA,2.61,3.16,3.96,4.62,5.59,6.4,7.27,8.33,9.72,10.78
6611,AK,"Anchorage, Alyeska AK_IA",IA,3.35,4.05,4.99,5.72,6.69,7.44,8.2,8.98,10.02,10.8
6612,AK,"Anchorage, Anchorage Elmendorf Afb AK_IA",IA,1,1.23,1.56,1.84,2.26,2.6,2.98,3.44,4.05,4.51
6613,AK,"Anchorage, Anchorage Intl AP AK_IA",IA,1.04,1.4,1.9,2.28,2.79,3.19,3.59,4.02,4.58,5
6614,AK,"Anchorage, Campbell Creek Sci Ctr AK_IA",IA,1.09,1.35,1.71,2,2.4,2.73,3.07,3.45,3.95,4.33
6615,AK,"Anchorage, Eklutna Lake AK_IA",IA,1.02,1.24,1.55,1.8,2.14,2.42,2.71,3.04,3.46,3.79
6616,AK,"Anchorage, Eklutna Wtp AK_IA",IA,1.04,1.27,1.57,1.8,2.1,2.33,2.55,2.77,3.06,3.28
6617,AK,"Anchorage, Ft Richardson W.T.P. AK_IA",IA,1.03,1.29,1.64,1.9,2.26,2.54,2.82,3.12,3.51,3.8
6618,AK,"Anchorage, Glen Alps AK_IA",IA,1.38,1.71,2.17,2.54,3.05,3.46,3.89,4.37,5.01,5.5
6619,AK,"Anchorage, Indian Pass AK_IA",IA,2.07,2.53,3.2,3.75,4.57,5.24,5.98,6.87,8.04,8.93
6620,AK,"Anchorage, Portage 1 S AK_IA",IA,2.45,2.98,3.77,4.41,5.34,6.11,6.94,7.92,9.23,10.22
6621,AK,"Bethel, Aniak AP AK_I",I,1.14,1.42,1.82,2.15,2.63,3.03,3.46,5.33,6.37,7.16
6622,AK,"Bethel, Bethel AP AK_I",I,0.91,1.12,1.45,1.74,2.22,2.64,3.14,3.85,4.8,5.51
6623,AK,"Bethel, Cape Newenham AK_I",I,1.73,2.12,2.65,3.07,3.63,4.07,4.51,4.98,5.6,6.08
6624,AK,"Bethel, Crooked Creek AK_I",I,0.83,1.03,1.31,1.53,1.84,2.09,2.35,2.64,3.02,3.31
6625,AK,"Bethel, Nunivak Island AK_I",I,0.87,1.11,1.46,1.74,2.15,2.49,2.86,3.29,3.86,4.29
6626,AK,"Bethel, Nyac AK_I",I,1.31,1.63,2.09,2.47,3.01,3.46,3.93,4.48,5.21,5.76
6627,AK,"Bethel, Platinum AK_I",I,1.24,1.52,1.91,2.23,2.68,3.05,3.44,3.89,4.49,4.95
6628,AK,"Bethel, Sparrevohn AK_I",I,1.3,1.6,2.02,2.35,2.83,3.22,3.63,4.09,4.71,5.17
6629,AK,"Bristol Bay, King Salmon AP AK_I",I,0.98,1.19,1.48,1.71,2.03,2.28,2.54,2.84,3.22,3.51
6630,AK,Canada BC_Haines_Haines_40_NW,IA,2.35,2.93,3.73,4.37,5.26,5.97,6.71,7.54,8.64,9.46
6631,AK,"Denali, Cantwell 2 E AK_I",I,1.09,1.35,1.77,2.15,2.77,3.33,3.98,4.93,6.19,7.14
6632,AK,"Denali, Healy 2 NW AK_I",I,1.04,1.32,1.72,2.05,2.53,2.93,3.36,3.88,4.56,5.08
6633,AK,"Denali, Mckinley Park AK_I",I,1.28,1.62,2.09,2.47,3.01,3.44,3.89,4.4,5.08,5.59
6634,AK,"Denali, Wonder Lake AK_I",I,1.49,1.91,2.49,2.94,3.55,4.03,4.52,5.05,5.74,6.27
6635,AK,"Dillingham, Dillingham AP AK_I",I,1.18,1.37,1.7,2.04,2.63,3.23,3.99,5.24,6.88,8.12
6636,AK,"Fairbanks North Star, Bonanza Creek AK_I",I,1.05,1.3,1.69,2.05,2.62,3.14,3.75,4.61,5.75,6.61
6637,AK,"Fairbanks North Star, Chena Hot Springs AK_I",I,1.07,1.34,1.74,2.08,2.57,2.98,3.44,3.99,4.72,5.28
6638,AK,"Fairbanks North Star, College 5 NW AK_I",I,0.89,1.12,1.45,1.74,2.17,2.54,2.95,3.47,4.16,4.68
6639,AK,"Fairbanks North Star, College Obsy AK_I",I,0.85,1.06,1.4,1.69,2.15,2.56,3.03,3.68,4.54,5.19
6640,AK,"Fairbanks North Star, Eielson Fld AK_I",I,0.91,1.14,1.5,1.82,2.34,2.81,3.37,4.17,5.22,6.02
6641,AK,"Fairbanks North Star, Fairbanks F.O. AK_I",I,0.86,1.09,1.44,1.74,2.19,2.58,3.02,3.6,4.36,4.93
6642,AK,"Fairbanks North Star, Fairbanks Intl AP AK_I",I,0.82,1.09,1.49,1.83,2.33,2.75,3.22,3.81,4.59,5.18
6643,AK,"Fairbanks North Star, Ft Knox Mine AK_I",I,1.11,1.4,1.82,2.19,2.76,3.26,3.81,4.55,5.52,6.26
6644,AK,"Fairbanks North Star, Gilmore Creek AK_I",I,1.03,1.27,1.66,2.02,2.6,3.13,3.76,4.69,5.91,6.84
6645,AK,"Fairbanks North Star, Keystone Ridge AK_I",I,1.05,1.31,1.71,2.06,2.58,3.03,3.54,4.21,5.09,5.76
6646,AK,"Fairbanks North Star, Ladd Afb AK_I",I,0.93,1.16,1.51,1.83,2.33,2.79,3.31,4.05,5.03,5.77
6647,AK,"Fairbanks North Star, Little Chena Ridge AK_I",I,1.24,1.54,2,2.38,2.95,3.42,3.94,4.58,5.42,6.06
6648,AK,"Fairbanks North Star, Mile 42 Steese AK_I",I,1.05,1.32,1.72,2.06,2.57,3,3.47,4.07,4.86,5.46
6649,AK,"Fairbanks North Star, Monument Creek AK_I",I,1.08,1.38,1.8,2.13,2.61,2.99,3.39,3.85,4.45,4.9
6650,AK,"Fairbanks North Star, Mt. Ryan AK_I",I,1.01,1.27,1.65,1.96,2.42,2.8,3.21,3.71,4.38,4.88
6651,AK,"Fairbanks North Star, Munson Ridge AK_I",I,1.29,1.63,2.13,2.54,3.13,3.63,4.17,4.82,5.68,6.33
6652,AK,"Fairbanks North Star, North Pole AK_I",I,0.87,1.1,1.44,1.73,2.17,2.56,2.99,3.55,4.3,4.86
6653,AK,"Fairbanks North Star, Salcha AK_I",I,1.05,1.32,1.74,2.1,2.64,3.1,3.62,4.3,5.19,5.86
6654,AK,"Fairbanks North Star, Teuchet Creek AK_I",I,0.87,1.11,1.44,1.7,2.05,2.33,2.62,2.93,3.34,3.65
6655,AK,"Fairbanks North Star, Two Rivers AK_I",I,1.02,1.27,1.67,2.01,2.54,3.02,3.55,4.28,5.24,5.96
6656,AK,"Fairbanks North Star, University Exp Stn AK_I",I,0.81,1.1,1.56,1.94,2.51,2.98,3.5,4.13,4.97,5.61
6657,AK,"Fairbanks North Star, Upper Chena AK_I",I,1.15,1.45,1.89,2.25,2.76,3.19,3.65,4.19,4.91,5.45
6658,AK,"Haines, Haines 40 NW AK_IA",IA,2.36,2.93,3.73,4.37,5.26,5.97,6.71,7.57,8.71,9.57
6659,AK,"Haines, Haines AP AK_IA",IA,2.3,2.87,3.67,4.31,5.21,5.94,6.7,7.57,8.71,9.57
6660,AK,"Haines, Haines Terminal AK_IA",IA,2.13,2.66,3.4,3.99,4.83,5.5,6.21,7.01,8.06,8.86
6661,AK,"Hoonah-Angoon, Angoon AK_IA",IA,1.63,1.96,2.37,2.68,3.07,3.36,3.64,3.92,4.29,4.57
6662,AK,"Hoonah-Angoon, Elfin Cove AK_IA",IA,3.44,4.11,5.05,5.83,6.95,7.87,8.86,10.02,11.55,12.72
6663,AK,"Hoonah-Angoon, Glacier Bay AK_IA",IA,2.27,2.66,3.2,3.63,4.21,4.67,5.14,5.66,6.34,6.85
